
larastan:Larastan Analysis:vendor/bin/phpstan analyse --memory-limit=2G -c phpstan-laravel.neon:1
phpmd:PHP Mess Detector:vendor/bin/phpmd app,config,database,routes text cleancode,codesize,controversial,design,naming,unusedcode:2
phpcpd:PHP Copy/Paste Detector:vendor/bin/phpcpd app:127
unit-HashServiceTest:Unit Test HashServiceTest:vendor/bin/phpunit tests/Unit/HashServiceTest.php:1
unit-OrderHelperTest:Unit Test OrderHelperTest:vendor/bin/phpunit tests/Unit/OrderHelperTest.php:2
unit-HeaderSecurityTest:Unit Test HeaderSecurityTest:vendor/bin/phpunit tests/Unit/HeaderSecurityTest.php:1
unit-PriceHelperTest:Unit Test PriceHelperTest:vendor/bin/phpunit tests/Unit/PriceHelperTest.php:2
unit-HIPAAComplianceTest:Unit Test HIPAAComplianceTest:vendor/bin/phpunit tests/Unit/HIPAAComplianceTest.php:1
unit-HindiLanguageTest:Unit Test HindiLanguageTest:vendor/bin/phpunit tests/Unit/HindiLanguageTest.php:1
unit-HelperServiceTest:Unit Test HelperServiceTest:vendor/bin/phpunit tests/Unit/HelperServiceTest.php:1
unit-HttpsEnforcementTest:Unit Test HttpsEnforcementTest:vendor/bin/phpunit tests/Unit/HttpsEnforcementTest.php:1
unit-HyperparameterTuningTest:Unit Test HyperparameterTuningTest:vendor/bin/phpunit tests/Unit/HyperparameterTuningTest.php:1
unit-ImageOptimizationTest:Unit Test ImageOptimizationTest:vendor/bin/phpunit tests/Unit/ImageOptimizationTest.php:1
unit-ImageGalleryPageTest:Unit Test ImageGalleryPageTest:vendor/bin/phpunit tests/Unit/ImageGalleryPageTest.php:1
unit-ImageServiceTest:Unit Test ImageServiceTest:vendor/bin/phpunit tests/Unit/ImageServiceTest.php:1
unit-ImageRecognitionTest:Unit Test ImageRecognitionTest:vendor/bin/phpunit tests/Unit/ImageRecognitionTest.php:1
unit-ImageUploadEndpointTest:Unit Test ImageUploadEndpointTest:vendor/bin/phpunit tests/Unit/ImageUploadEndpointTest.php:1
unit-ImportEndpointTest:Unit Test ImportEndpointTest:vendor/bin/phpunit tests/Unit/ImportEndpointTest.php:1
unit-IndexCreationTest:Unit Test IndexCreationTest:vendor/bin/phpunit tests/Unit/IndexCreationTest.php:1
unit-ImageValidationTest:Unit Test ImageValidationTest:vendor/bin/phpunit tests/Unit/ImageValidationTest.php:1
unit-IndexOptimizationTest:Unit Test IndexOptimizationTest:vendor/bin/phpunit tests/Unit/IndexOptimizationTest.php:1
unit-AnalyticsIntegrationTest:Unit Test AnalyticsIntegrationTest:vendor/bin/phpunit tests/Unit/AnalyticsIntegrationTest.php:2
unit-InputValidationTest:Unit Test InputValidationTest:vendor/bin/phpunit tests/Unit/InputValidationTest.php:1
unit-CurrencyIntegrationTest:Unit Test CurrencyIntegrationTest:vendor/bin/phpunit tests/Unit/CurrencyIntegrationTest.php:2
unit-APIIntegrationTest:Unit Test APIIntegrationTest:vendor/bin/phpunit tests/Unit/APIIntegrationTest.php:2
unit-InstallationGuideTest:Unit Test InstallationGuideTest:vendor/bin/phpunit tests/Unit/InstallationGuideTest.php:1
unit-EmailIntegrationTest:Unit Test EmailIntegrationTest:vendor/bin/phpunit tests/Unit/EmailIntegrationTest.php:2
unit-NotificationIntegrationTest:Unit Test NotificationIntegrationTest:vendor/bin/phpunit tests/Unit/NotificationIntegrationTest.php:2
unit-EndToEndIntegrationTest:Unit Test EndToEndIntegrationTest:vendor/bin/phpunit tests/Unit/EndToEndIntegrationTest.php:2
unit-InventoryIntegrationTest:Unit Test InventoryIntegrationTest:vendor/bin/phpunit tests/Unit/InventoryIntegrationTest.php:2
unit-PushNotificationTest:Unit Test PushNotificationTest:vendor/bin/phpunit tests/Unit/PushNotificationTest.php:2
unit-ShippingIntegrationTest:Unit Test ShippingIntegrationTest:vendor/bin/phpunit tests/Unit/ShippingIntegrationTest.php:2
unit-SearchIntegrationTest:Unit Test SearchIntegrationTest:vendor/bin/phpunit tests/Unit/SearchIntegrationTest.php:2
unit-StoreAPIIntegrationTest:Unit Test StoreAPIIntegrationTest:vendor/bin/phpunit tests/Unit/StoreAPIIntegrationTest.php:2
unit-SMSIntegrationTest:Unit Test SMSIntegrationTest:vendor/bin/phpunit tests/Unit/SMSIntegrationTest.php:2
unit-PaymentIntegrationTest:Unit Test PaymentIntegrationTest:vendor/bin/phpunit tests/Unit/PaymentIntegrationTest.php:2
unit-ThirdPartyAPIIntegrationTest:Unit Test ThirdPartyAPIIntegrationTest:vendor/bin/phpunit tests/Unit/ThirdPartyAPIIntegrationTest.php:2
unit-WebhookTest:Unit Test WebhookTest:vendor/bin/phpunit tests/Unit/WebhookTest.php:2
unit-IPAddressValidationTest:Unit Test IPAddressValidationTest:vendor/bin/phpunit tests/Unit/IPAddressValidationTest.php:1
unit-IPWhitelistingTest:Unit Test IPWhitelistingTest:vendor/bin/phpunit tests/Unit/IPWhitelistingTest.php:1
unit-IntrusionDetectionTest:Unit Test IntrusionDetectionTest:vendor/bin/phpunit tests/Unit/IntrusionDetectionTest.php:1
unit-IPBlacklistingTest:Unit Test IPBlacklistingTest:vendor/bin/phpunit tests/Unit/IPBlacklistingTest.php:1
unit-ISOComplianceTest:Unit Test ISOComplianceTest:vendor/bin/phpunit tests/Unit/ISOComplianceTest.php:1
unit-ItalianLanguageTest:Unit Test ItalianLanguageTest:vendor/bin/phpunit tests/Unit/ItalianLanguageTest.php:1
unit-IsolatedStrictTest:Unit Test IsolatedStrictTest:vendor/bin/phpunit tests/Unit/IsolatedStrictTest.php:1
unit-JapaneseLanguageTest:Unit Test JapaneseLanguageTest:vendor/bin/phpunit tests/Unit/JapaneseLanguageTest.php:1
unit-JobAuthorizationTest:Unit Test JobAuthorizationTest:vendor/bin/phpunit tests/Unit/JobAuthorizationTest.php:1
unit-ProcessHeavyOperationTest:Unit Test ProcessHeavyOperationTest:vendor/bin/phpunit tests/Unit/ProcessHeavyOperationTest.php:2
unit-JoinOperationsTest:Unit Test JoinOperationsTest:vendor/bin/phpunit tests/Unit/JoinOperationsTest.php:1
unit-JobProcessingTest:Unit Test JobProcessingTest:vendor/bin/phpunit tests/Unit/JobProcessingTest.php:1
unit-JSONValidationTest:Unit Test JSONValidationTest:vendor/bin/phpunit tests/Unit/JSONValidationTest.php:1
unit-JWTAuthenticationTest:Unit Test JWTAuthenticationTest:vendor/bin/phpunit tests/Unit/JWTAuthenticationTest.php:1
unit-KMeansClusteringTest:Unit Test KMeansClusteringTest:vendor/bin/phpunit tests/Unit/KMeansClusteringTest.php:1
unit-JobServiceTest:Unit Test JobServiceTest:vendor/bin/phpunit tests/Unit/JobServiceTest.php:1
unit-KeyManagementTest:Unit Test KeyManagementTest:vendor/bin/phpunit tests/Unit/KeyManagementTest.php:1
unit-KoreanLanguageTest:Unit Test KoreanLanguageTest:vendor/bin/phpunit tests/Unit/KoreanLanguageTest.php:1
unit-LatencyOptimizationTest:Unit Test LatencyOptimizationTest:vendor/bin/phpunit tests/Unit/LatencyOptimizationTest.php:1
unit-LazyLoadingTest:Unit Test LazyLoadingTest:vendor/bin/phpunit tests/Unit/LazyLoadingTest.php:1
unit-LDAPAuthenticationTest:Unit Test LDAPAuthenticationTest:vendor/bin/phpunit tests/Unit/LDAPAuthenticationTest.php:1
unit-LengthValidationTest:Unit Test LengthValidationTest:vendor/bin/phpunit tests/Unit/LengthValidationTest.php:1
unit-LDAPInjectionPreventionTest:Unit Test LDAPInjectionPreventionTest:vendor/bin/phpunit tests/Unit/LDAPInjectionPreventionTest.php:1
unit-LinearRegressionTest:Unit Test LinearRegressionTest:vendor/bin/phpunit tests/Unit/LinearRegressionTest.php:1
unit-LoadingOptimizationTest:Unit Test LoadingOptimizationTest:vendor/bin/phpunit tests/Unit/LoadingOptimizationTest.php:1
unit-LocaleValidationTest:Unit Test LocaleValidationTest:vendor/bin/phpunit tests/Unit/LocaleValidationTest.php:1
unit-LocaleDetectionTest:Unit Test LocaleDetectionTest:vendor/bin/phpunit tests/Unit/LocaleDetectionTest.php:1
unit-LocaleSwitchingTest:Unit Test LocaleSwitchingTest:vendor/bin/phpunit tests/Unit/LocaleSwitchingTest.php:1
unit-LoggingSystemTest:Unit Test LoggingSystemTest:vendor/bin/phpunit tests/Unit/LoggingSystemTest.php:1
unit-LogoutEndpointTest:Unit Test LogoutEndpointTest:vendor/bin/phpunit tests/Unit/LogoutEndpointTest.php:1
unit-LoginPageTest:Unit Test LoginPageTest:vendor/bin/phpunit tests/Unit/LoginPageTest.php:1
unit-LoginThrottlingTest:Unit Test LoginThrottlingTest:vendor/bin/phpunit tests/Unit/LoginThrottlingTest.php:1
unit-LoginEndpointTest:Unit Test LoginEndpointTest:vendor/bin/phpunit tests/Unit/LoginEndpointTest.php:1
unit-LogisticRegressionTest:Unit Test LogisticRegressionTest:vendor/bin/phpunit tests/Unit/LogisticRegressionTest.php:1
unit-LogServiceTest:Unit Test LogServiceTest:vendor/bin/phpunit tests/Unit/LogServiceTest.php:1
unit-LoopOptimizationTest:Unit Test LoopOptimizationTest:vendor/bin/phpunit tests/Unit/LoopOptimizationTest.php:1
unit-MachineLearningModelTest:Unit Test MachineLearningModelTest:vendor/bin/phpunit tests/Unit/MachineLearningModelTest.php:1
unit-MaintenanceDocumentationTest:Unit Test MaintenanceDocumentationTest:vendor/bin/phpunit tests/Unit/MaintenanceDocumentationTest.php:1
unit-MaintenanceEndpointTest:Unit Test MaintenanceEndpointTest:vendor/bin/phpunit tests/Unit/MaintenanceEndpointTest.php:1
unit-MaxLengthValidationTest:Unit Test MaxLengthValidationTest:vendor/bin/phpunit tests/Unit/MaxLengthValidationTest.php:1
unit-MemcachedCacheDriverTest:Unit Test MemcachedCacheDriverTest:vendor/bin/phpunit tests/Unit/MemcachedCacheDriverTest.php:1
unit-MalwareDetectionTest:Unit Test MalwareDetectionTest:vendor/bin/phpunit tests/Unit/MalwareDetectionTest.php:1
unit-MaintenancePageTest:Unit Test MaintenancePageTest:vendor/bin/phpunit tests/Unit/MaintenancePageTest.php:1
unit-MethodAuthorizationTest:Unit Test MethodAuthorizationTest:vendor/bin/phpunit tests/Unit/MethodAuthorizationTest.php:1
unit-MemoryOptimizationTest:Unit Test MemoryOptimizationTest:vendor/bin/phpunit tests/Unit/MemoryOptimizationTest.php:1
unit-MessagesPageTest:Unit Test MessagesPageTest:vendor/bin/phpunit tests/Unit/MessagesPageTest.php:1
unit-AdminMiddlewareTest:Unit Test AdminMiddlewareTest:vendor/bin/phpunit tests/Unit/AdminMiddlewareTest.php:2
unit-MethodDocumentationTest:Unit Test MethodDocumentationTest:vendor/bin/phpunit tests/Unit/MethodDocumentationTest.php:1
unit-MiddlewareServiceTest:Unit Test MiddlewareServiceTest:vendor/bin/phpunit tests/Unit/MiddlewareServiceTest.php:1
unit-MinificationTestingTest:Unit Test MinificationTestingTest:vendor/bin/phpunit tests/Unit/MinificationTestingTest.php:1
unit-MinLengthValidationTest:Unit Test MinLengthValidationTest:vendor/bin/phpunit tests/Unit/MinLengthValidationTest.php:1
unit-MockeryDebugTest:Unit Test MockeryDebugTest:vendor/bin/phpunit tests/Unit/MockeryDebugTest.php:1
unit-MobileCompatibilityTest:Unit Test MobileCompatibilityTest:vendor/bin/phpunit tests/Unit/MobileCompatibilityTest.php:1
unit-ModalWindowsTest:Unit Test ModalWindowsTest:vendor/bin/phpunit tests/Unit/ModalWindowsTest.php:1
unit-ModelAuthorizationTest:Unit Test ModelAuthorizationTest:vendor/bin/phpunit tests/Unit/ModelAuthorizationTest.php:1
unit-ModelDeploymentTest:Unit Test ModelDeploymentTest:vendor/bin/phpunit tests/Unit/ModelDeploymentTest.php:1
unit-ModelEvaluationTest:Unit Test ModelEvaluationTest:vendor/bin/phpunit tests/Unit/ModelEvaluationTest.php:1
unit-ModelMaintenanceTest:Unit Test ModelMaintenanceTest:vendor/bin/phpunit tests/Unit/ModelMaintenanceTest.php:1
unit-ModelMonitoringTest:Unit Test ModelMonitoringTest:vendor/bin/phpunit tests/Unit/ModelMonitoringTest.php:1
unit-AuditLogTest:Unit Test AuditLogTest:vendor/bin/phpunit tests/Unit/AuditLogTest.php:2
unit-BrandTest:Unit Test BrandTest:vendor/bin/phpunit tests/Unit/BrandTest.php:2
unit-ModelOptimizationTest:Unit Test ModelOptimizationTest:vendor/bin/phpunit tests/Unit/ModelOptimizationTest.php:1
unit-ModelRelationsTest:Unit Test ModelRelationsTest:vendor/bin/phpunit tests/Unit/ModelRelationsTest.php:1
unit-CurrencyTest:Unit Test CurrencyTest:vendor/bin/phpunit tests/Unit/CurrencyTest.php:2
unit-CategoryTest:Unit Test CategoryTest:vendor/bin/phpunit tests/Unit/CategoryTest.php:2
unit-LanguageTest:Unit Test LanguageTest:vendor/bin/phpunit tests/Unit/LanguageTest.php:2
unit-NotificationTest:Unit Test NotificationTest:vendor/bin/phpunit tests/Unit/NotificationTest.php:2
unit-OrderItemTest:Unit Test OrderItemTest:vendor/bin/phpunit tests/Unit/OrderItemTest.php:2
unit-OrderTest:Unit Test OrderTest:vendor/bin/phpunit tests/Unit/OrderTest.php:2
unit-PaymentTest:Unit Test PaymentTest:vendor/bin/phpunit tests/Unit/PaymentTest.php:2
unit-PaymentMethodTest:Unit Test PaymentMethodTest:vendor/bin/phpunit tests/Unit/PaymentMethodTest.php:2
unit-ProductTest:Unit Test ProductTest:vendor/bin/phpunit tests/Unit/ProductTest.php:2
unit-ReviewTest:Unit Test ReviewTest:vendor/bin/phpunit tests/Unit/ReviewTest.php:2
unit-UserTest:Unit Test UserTest:vendor/bin/phpunit tests/Unit/UserTest.php:2
unit-StoreTest:Unit Test StoreTest:vendor/bin/phpunit tests/Unit/StoreTest.php:2
unit-PriceAlertTest:Unit Test PriceAlertTest:vendor/bin/phpunit tests/Unit/PriceAlertTest.php:2
unit-ModelServiceTest:Unit Test ModelServiceTest:vendor/bin/phpunit tests/Unit/ModelServiceTest.php:1
unit-ModelValidationTest:Unit Test ModelValidationTest:vendor/bin/phpunit tests/Unit/ModelValidationTest.php:1
unit-MultiFactorAuthenticationTest:Unit Test MultiFactorAuthenticationTest:vendor/bin/phpunit tests/Unit/MultiFactorAuthenticationTest.php:1
unit-NetworkOptimizationTest:Unit Test NetworkOptimizationTest:vendor/bin/phpunit tests/Unit/NetworkOptimizationTest.php:1
unit-NestedValidationTest:Unit Test NestedValidationTest:vendor/bin/phpunit tests/Unit/NestedValidationTest.php:1
unit-NaiveBayesTest:Unit Test NaiveBayesTest:vendor/bin/phpunit tests/Unit/NaiveBayesTest.php:1
unit-NetworkLatencyTest:Unit Test NetworkLatencyTest:vendor/bin/phpunit tests/Unit/NetworkLatencyTest.php:1
unit-NetworkSecurityTest:Unit Test NetworkSecurityTest:vendor/bin/phpunit tests/Unit/NetworkSecurityTest.php:1
unit-NeuralNetworkTest:Unit Test NeuralNetworkTest:vendor/bin/phpunit tests/Unit/NeuralNetworkTest.php:1
unit-NeuralNetworkTrainingTest:Unit Test NeuralNetworkTrainingTest:vendor/bin/phpunit tests/Unit/NeuralNetworkTrainingTest.php:1
unit-NotificationAuthorizationTest:Unit Test NotificationAuthorizationTest:vendor/bin/phpunit tests/Unit/NotificationAuthorizationTest.php:1
unit-NISTComplianceTest:Unit Test NISTComplianceTest:vendor/bin/phpunit tests/Unit/NISTComplianceTest.php:1
unit-NotificationEndpointTest:Unit Test NotificationEndpointTest:vendor/bin/phpunit tests/Unit/NotificationEndpointTest.php:1
unit-NumberFormatLocalizationTest:Unit Test NumberFormatLocalizationTest:vendor/bin/phpunit tests/Unit/NumberFormatLocalizationTest.php:1
unit-OAuthAuthenticationTest:Unit Test OAuthAuthenticationTest:vendor/bin/phpunit tests/Unit/OAuthAuthenticationTest.php:1
unit-NumericValidationTest:Unit Test NumericValidationTest:vendor/bin/phpunit tests/Unit/NumericValidationTest.php:1
unit-NotificationSystemTest:Unit Test NotificationSystemTest:vendor/bin/phpunit tests/Unit/NotificationSystemTest.php:1
unit-ORMFunctionalityTest:Unit Test ORMFunctionalityTest:vendor/bin/phpunit tests/Unit/ORMFunctionalityTest.php:1
unit-ObjectOptimizationTest:Unit Test ObjectOptimizationTest:vendor/bin/phpunit tests/Unit/ObjectOptimizationTest.php:1
unit-OutputEncodingTest:Unit Test OutputEncodingTest:vendor/bin/phpunit tests/Unit/OutputEncodingTest.php:1
unit-OWASPComplianceTest:Unit Test OWASPComplianceTest:vendor/bin/phpunit tests/Unit/OWASPComplianceTest.php:1
unit-PaginationComponentTest:Unit Test PaginationComponentTest:vendor/bin/phpunit tests/Unit/PaginationComponentTest.php:1
unit-PaginationTest:Unit Test PaginationTest:vendor/bin/phpunit tests/Unit/PaginationTest.php:1
unit-PasswordPolicyTest:Unit Test PasswordPolicyTest:vendor/bin/phpunit tests/Unit/PasswordPolicyTest.php:1
unit-PasswordChangeTest:Unit Test PasswordChangeTest:vendor/bin/phpunit tests/Unit/PasswordChangeTest.php:1
unit-PasswordResetEndpointTest:Unit Test PasswordResetEndpointTest:vendor/bin/phpunit tests/Unit/PasswordResetEndpointTest.php:1
unit-PasswordResetTest:Unit Test PasswordResetTest:vendor/bin/phpunit tests/Unit/PasswordResetTest.php:1
unit-PDFGenerationTest:Unit Test PDFGenerationTest:vendor/bin/phpunit tests/Unit/PDFGenerationTest.php:1
unit-PDFServiceTest:Unit Test PDFServiceTest:vendor/bin/phpunit tests/Unit/PDFServiceTest.php:1
unit-PatternRecognitionTest:Unit Test PatternRecognitionTest:vendor/bin/phpunit tests/Unit/PatternRecognitionTest.php:1
unit-PCIComplianceTest:Unit Test PCIComplianceTest:vendor/bin/phpunit tests/Unit/PCIComplianceTest.php:1
unit-PaymentGatewayTest:Unit Test PaymentGatewayTest:vendor/bin/phpunit tests/Unit/PaymentGatewayTest.php:1
unit-AvailabilityTestingTest:Unit Test AvailabilityTestingTest:vendor/bin/phpunit tests/Unit/AvailabilityTestingTest.php:2
unit-CacheHitRateTest:Unit Test CacheHitRateTest:vendor/bin/phpunit tests/Unit/CacheHitRateTest.php:2
unit-ConcurrentUserTest:Unit Test ConcurrentUserTest:vendor/bin/phpunit tests/Unit/ConcurrentUserTest.php:2
unit-DatabaseQueryTimeTest:Unit Test DatabaseQueryTimeTest:vendor/bin/phpunit tests/Unit/DatabaseQueryTimeTest.php:2
unit-CPUUsageTest:Unit Test CPUUsageTest:vendor/bin/phpunit tests/Unit/CPUUsageTest.php:2
unit-ImageLoadTimeTest:Unit Test ImageLoadTimeTest:vendor/bin/phpunit tests/Unit/ImageLoadTimeTest.php:2
unit-PageLoadTimeTest:Unit Test PageLoadTimeTest:vendor/bin/phpunit tests/Unit/PageLoadTimeTest.php:2
unit-FilteringPerformanceTest:Unit Test FilteringPerformanceTest:vendor/bin/phpunit tests/Unit/FilteringPerformanceTest.php:2
unit-PerformanceDocumentationTest:Unit Test PerformanceDocumentationTest:vendor/bin/phpunit tests/Unit/PerformanceDocumentationTest.php:1
unit-PerformanceProfilingTest:Unit Test PerformanceProfilingTest:vendor/bin/phpunit tests/Unit/PerformanceProfilingTest.php:1
unit-PermissionSystemTest:Unit Test PermissionSystemTest:vendor/bin/phpunit tests/Unit/PermissionSystemTest.php:1
unit-PrintStylesTest:Unit Test PrintStylesTest:vendor/bin/phpunit tests/Unit/PrintStylesTest.php:1
unit-PortugueseLanguageTest:Unit Test PortugueseLanguageTest:vendor/bin/phpunit tests/Unit/PortugueseLanguageTest.php:1
unit-PredictiveAnalyticsTest:Unit Test PredictiveAnalyticsTest:vendor/bin/phpunit tests/Unit/PredictiveAnalyticsTest.php:1
unit-PhoneValidationTest:Unit Test PhoneValidationTest:vendor/bin/phpunit tests/Unit/PhoneValidationTest.php:1
unit-ProcessIsolationTest:Unit Test ProcessIsolationTest:vendor/bin/phpunit tests/Unit/ProcessIsolationTest.php:1
unit-ProfileEndpointTest:Unit Test ProfileEndpointTest:vendor/bin/phpunit tests/Unit/ProfileEndpointTest.php:1
unit-PrivacyControlsTest:Unit Test PrivacyControlsTest:vendor/bin/phpunit tests/Unit/PrivacyControlsTest.php:1
unit-ProfileUpdateEndpointTest:Unit Test ProfileUpdateEndpointTest:vendor/bin/phpunit tests/Unit/ProfileUpdateEndpointTest.php:1
unit-ProfilePageTest:Unit Test ProfilePageTest:vendor/bin/phpunit tests/Unit/ProfilePageTest.php:1
unit-ProfileUpdateTest:Unit Test ProfileUpdateTest:vendor/bin/phpunit tests/Unit/ProfileUpdateTest.php:1
unit-PushNotificationEndpointTest:Unit Test PushNotificationEndpointTest:vendor/bin/phpunit tests/Unit/PushNotificationEndpointTest.php:1
unit-PureUnitTest:Unit Test PureUnitTest:vendor/bin/phpunit tests/Unit/PureUnitTest.php:1
unit-QueryBuilderTest:Unit Test QueryBuilderTest:vendor/bin/phpunit tests/Unit/QueryBuilderTest.php:1
unit-ProjectsPageTest:Unit Test ProjectsPageTest:vendor/bin/phpunit tests/Unit/ProjectsPageTest.php:1
unit-QueueIntegrationTest:Unit Test QueueIntegrationTest:vendor/bin/phpunit tests/Unit/QueueIntegrationTest.php:1
unit-QueryOptimizationTest:Unit Test QueryOptimizationTest:vendor/bin/phpunit tests/Unit/QueryOptimizationTest.php:1
unit-QueueAuthorizationTest:Unit Test QueueAuthorizationTest:vendor/bin/phpunit tests/Unit/QueueAuthorizationTest.php:1
unit-QueueServiceTest:Unit Test QueueServiceTest:vendor/bin/phpunit tests/Unit/QueueServiceTest.php:1
unit-QueuePerformancetest:Unit Test QueuePerformancetest:vendor/bin/phpunit tests/Unit/QueuePerformancetest.php:1
unit-RaceConditionPreventionTest:Unit Test RaceConditionPreventionTest:vendor/bin/phpunit tests/Unit/RaceConditionPreventionTest.php:1
unit-BestDealRecommendationTest:Unit Test BestDealRecommendationTest:vendor/bin/phpunit tests/Unit/BestDealRecommendationTest.php:2
unit-RandomForestTest:Unit Test RandomForestTest:vendor/bin/phpunit tests/Unit/RandomForestTest.php:1
unit-RangeValidationTest:Unit Test RangeValidationTest:vendor/bin/phpunit tests/Unit/RangeValidationTest.php:1
unit-READMEFileTest:Unit Test READMEFileTest:vendor/bin/phpunit tests/Unit/READMEFileTest.php:1
unit-BrandRecommendationTest:Unit Test BrandRecommendationTest:vendor/bin/phpunit tests/Unit/BrandRecommendationTest.php:2
unit-CategoryRecommendationTest:Unit Test CategoryRecommendationTest:vendor/bin/phpunit tests/Unit/CategoryRecommendationTest.php:2
unit-CollaborativeFilteringTest:Unit Test CollaborativeFilteringTest:vendor/bin/phpunit tests/Unit/CollaborativeFilteringTest.php:2
unit-ContentBasedFilteringTest:Unit Test ContentBasedFilteringTest:vendor/bin/phpunit tests/Unit/ContentBasedFilteringTest.php:2
unit-CrossSellRecommendationTest:Unit Test CrossSellRecommendationTest:vendor/bin/phpunit tests/Unit/CrossSellRecommendationTest.php:2
unit-HybridRecommendationTest:Unit Test HybridRecommendationTest:vendor/bin/phpunit tests/Unit/HybridRecommendationTest.php:2
